Date Day Date2 T.Max Smx T.Min Smn Rain Srn Evap Sev Radn Ssl VP Svp RHmaxT RHminT FAO56
20000115 15.0 15-01-2000 NULL NULL NULL NULL 4.8 NULL 2.2 NULL NULL NULL NULL NULL NULL NULL NULL
20000116 16.0 16-01-2000 NULL NULL NULL NULL 37.6 NULL 2.35 NULL NULL NULL NULL NULL NULL NULL NULL
20000117 17.0 17-01-2000 NULL NULL NULL NULL 0.8 NULL 2.5 NULL NULL NULL NULL NULL NULL NULL NULL
20000118 18.0 18-01-2000 NULL NULL NULL NULL 0.0 NULL 3.0 NULL NULL NULL NULL NULL NULL NULL NULL
20000119 19.0 19-01-2000 NULL NULL NULL NULL 0.2 NULL 3.8 NULL NULL NULL NULL NULL NULL NULL NULL
20000120 20.0 20-01-2000 NULL NULL NULL NULL 0.2 NULL 2.6 NULL NULL NULL NULL NULL NULL NULL NULL
20000121 21.0 21-01-2000 NULL NULL NULL NULL 0.0 NULL 1.7 NULL NULL NULL NULL NULL NULL NULL NULL
20000122 22.0 22-01-2000 NULL NULL NULL NULL 0.0 NULL 2.2 NULL NULL NULL NULL NULL NULL NULL NULL
20000123 23.0 23-01-2000 NULL NULL NULL NULL 0.0 NULL 3.1 NULL NULL NULL NULL NULL NULL NULL NULL
20000124 24.0 24-01-2000 NULL NULL NULL NULL 0.2 NULL 3.7 NULL NULL NULL NULL NULL NULL NULL NULL
20000125 25.0 25-01-2000 NULL NULL NULL NULL 0.0 NULL 2.7 NULL NULL NULL NULL NULL NULL NULL NULL
20000126 26.0 26-01-2000 NULL NULL NULL NULL 0.0 NULL 3.7 NULL NULL NULL NULL NULL NULL NULL NULL
20000127 27.0 27-01-2000 NULL NULL NULL NULL 19.0 NULL 3.7 NULL NULL NULL NULL NULL NULL NULL NULL
20000128 28.0 28-01-2000 NULL NULL NULL NULL 0.2 NULL 3.7 NULL NULL NULL NULL NULL NULL NULL NULL
20000129 29.0 29-01-2000 NULL NULL NULL NULL 0.0 NULL 3.5 NULL NULL NULL NULL NULL NULL NULL NULL
20000130 30.0 30-01-2000 NULL NULL NULL NULL 0.0 NULL 2.5 NULL NULL NULL NULL NULL NULL NULL NULL
20000131 31.0 31-01-2000 NULL NULL NULL NULL 0.2 NULL 3.7 NULL NULL NULL NULL NULL NULL NULL NULL
20000201 32.0 01-02-2000 NULL NULL NULL NULL 5.2 NULL 3.45 NULL NULL NULL NULL NULL NULL NULL NULL
20000202 33.0 02-02-2000 NULL NULL NULL NULL 0.2 NULL 3.2 NULL NULL NULL NULL NULL NULL NULL NULL
20000203 34.0 03-02-2000 NULL NULL NULL NULL 0.2 NULL 3.7 NULL NULL NULL NULL NULL NULL NULL NULL
20000204 35.0 04-02-2000 NULL NULL NULL NULL 0.0 NULL 2.7 NULL NULL NULL NULL NULL NULL NULL NULL
20000205 36.0 05-02-2000 NULL NULL NULL NULL 0.0 NULL 3.1 NULL NULL NULL NULL NULL NULL NULL NULL
20000206 37.0 06-02-2000 NULL NULL NULL NULL 0.0 NULL 2.3 NULL NULL NULL NULL NULL NULL NULL NULL
20000207 38.0 07-02-2000 NULL NULL NULL NULL 0.2 NULL 2.4 NULL NULL NULL NULL NULL NULL NULL NULL
20000208 39.0 08-02-2000 NULL NULL NULL NULL 0.0 NULL 3.1 NULL NULL NULL NULL NULL NULL NULL NULL
20000209 40.0 09-02-2000 NULL NULL NULL NULL 0.2 NULL 4.1 NULL NULL NULL NULL NULL NULL NULL NULL
20000210 41.0 10-02-2000 NULL NULL NULL NULL 0.0 NULL 4.0 NULL NULL NULL NULL NULL NULL NULL NULL
20000211 42.0 11-02-2000 NULL NULL NULL NULL 0.0 NULL 4.35 NULL NULL NULL NULL NULL NULL NULL NULL
20000212 43.0 12-02-2000 NULL NULL NULL NULL 0.0 NULL 4.7 NULL NULL NULL NULL NULL NULL NULL NULL
20000213 44.0 13-02-2000 NULL NULL NULL NULL 0.0 NULL 2.3 NULL NULL NULL NULL NULL NULL NULL NULL
20000214 45.0 14-02-2000 NULL NULL NULL NULL 0.0 NULL 2.8 NULL NULL NULL NULL NULL NULL NULL NULL
20000215 46.0 15-02-2000 NULL NULL NULL NULL 0.0 NULL 2.933333333333333 NULL NULL NULL NULL NULL NULL NULL NULL
20000216 47.0 16-02-2000 NULL NULL NULL NULL 0.2 NULL 3.066666666666667 NULL NULL NULL NULL NULL NULL NULL NULL
20000217 48.0 17-02-2000 NULL NULL NULL NULL 0.0 NULL 3.2 NULL NULL NULL NULL NULL NULL NULL NULL
20000218 49.0 18-02-2000 NULL NULL NULL NULL 0.0 NULL 3.0 NULL NULL NULL NULL NULL NULL NULL NULL
20000219 50.0 19-02-2000 NULL NULL NULL NULL 0.0 NULL 2.9 NULL NULL NULL NULL NULL NULL NULL NULL
20000220 51.0 20-02-2000 NULL NULL NULL NULL 0.2 NULL 2.4 NULL NULL NULL NULL NULL NULL NULL NULL
20000221 52.0 21-02-2000 NULL NULL NULL NULL 0.0 NULL 2.2 NULL NULL NULL NULL NULL NULL NULL NULL
20000222 53.0 22-02-2000 NULL NULL NULL NULL 0.2 NULL 3.8 NULL NULL NULL NULL NULL NULL NULL NULL
20000223 54.0 23-02-2000 NULL NULL NULL NULL 0.0 NULL 3.4 NULL NULL NULL NULL NULL NULL NULL NULL
20000224 55.0 24-02-2000 NULL NULL NULL NULL 0.0 NULL 3.9 NULL NULL NULL NULL NULL NULL NULL NULL
20000225 56.0 25-02-2000 NULL NULL NULL NULL 0.0 NULL 3.5 NULL NULL NULL NULL NULL NULL NULL NULL
20000226 57.0 26-02-2000 NULL NULL NULL NULL 0.0 NULL 3.2 NULL NULL NULL NULL NULL NULL NULL NULL
20000227 58.0 27-02-2000 NULL NULL NULL NULL 0.0 NULL 2.8 NULL NULL NULL NULL NULL NULL NULL NULL
20000228 59.0 28-02-2000 NULL NULL NULL NULL 0.2 NULL 3.2 NULL NULL NULL NULL NULL NULL NULL NULL
20000229 60.0 29-02-2000 NULL NULL NULL NULL 0.0 NULL 3.4 NULL NULL NULL NULL NULL NULL NULL NULL
20000301 61.0 01-03-2000 NULL NULL NULL NULL 0.0 NULL 3.9 NULL NULL NULL NULL NULL NULL NULL NULL
20000302 62.0 02-03-2000 NULL NULL NULL NULL 0.0 NULL 4.1 NULL NULL NULL NULL NULL NULL NULL NULL
20000303 63.0 03-03-2000 NULL NULL NULL NULL 0.2 NULL 4.1 NULL NULL NULL NULL NULL NULL NULL NULL
20000304 64.0 04-03-2000 NULL NULL NULL NULL 0.0 NULL 3.6 NULL NULL NULL NULL NULL NULL NULL NULL
20000305 65.0 05-03-2000 NULL NULL NULL NULL 0.0 NULL 3.7 NULL NULL NULL NULL NULL NULL NULL NULL
20000306 66.0 06-03-2000 NULL NULL NULL NULL 0.0 NULL 2.2 NULL NULL NULL NULL NULL NULL NULL NULL
20000307 67.0 07-03-2000 NULL NULL NULL NULL 0.2 NULL 0.0 NULL NULL NULL NULL NULL NULL NULL NULL
20000308 68.0 08-03-2000 NULL NULL NULL NULL 0.0 NULL 0.3 NULL NULL NULL NULL NULL NULL NULL NULL
20000309 69.0 09-03-2000 NULL NULL NULL NULL 0.0 NULL 2.4 NULL NULL NULL NULL NULL NULL NULL NULL
20000310 70.0 10-03-2000 NULL NULL NULL NULL 0.0 NULL 6.0 NULL NULL NULL NULL NULL NULL NULL NULL
20000311 71.0 11-03-2000 NULL NULL NULL NULL 0.0 NULL 4.4 NULL NULL NULL NULL NULL NULL NULL NULL
20000312 72.0 12-03-2000 NULL NULL NULL NULL 0.0 NULL 2.9 NULL NULL NULL NULL NULL NULL NULL NULL
20000313 73.0 13-03-2000 NULL NULL NULL NULL 0.2 NULL 3.6 NULL NULL NULL NULL NULL NULL NULL NULL
20000314 74.0 14-03-2000 NULL NULL NULL NULL 0.0 NULL 3.7 NULL NULL NULL NULL NULL NULL NULL NULL
20000315 75.0 15-03-2000 NULL NULL NULL NULL 0.0 NULL 4.5 NULL NULL NULL NULL NULL NULL NULL NULL
20000316 76.0 16-03-2000 NULL NULL NULL NULL 0.2 NULL 5.2 NULL NULL NULL NULL NULL NULL NULL NULL
20000317 77.0 17-03-2000 NULL NULL NULL NULL 0.0 NULL 4.6 NULL NULL NULL NULL NULL NULL NULL NULL
20000318 78.0 18-03-2000 NULL NULL NULL NULL 0.0 NULL 4.5 NULL NULL NULL NULL NULL NULL NULL NULL
20000319 79.0 19-03-2000 NULL NULL NULL NULL 0.0 NULL 4.6 NULL NULL NULL NULL NULL NULL NULL NULL
20000320 80.0 20-03-2000 NULL NULL NULL NULL 0.2 NULL 4.0 NULL NULL NULL NULL NULL NULL NULL NULL
20000321 81.0 21-03-2000 NULL NULL NULL NULL 1.0 NULL 4.0 NULL NULL NULL NULL NULL NULL NULL NULL
20000322 82.0 22-03-2000 NULL NULL NULL NULL 4.8 NULL 6.0 NULL NULL NULL NULL NULL NULL NULL NULL
20000323 83.0 23-03-2000 NULL NULL NULL NULL 2.2 NULL 3.8 NULL NULL NULL NULL NULL NULL NULL NULL
20000324 84.0 24-03-2000 NULL NULL NULL NULL 0.2 NULL 3.9 NULL NULL NULL NULL NULL NULL NULL NULL
20000325 85.0 25-03-2000 NULL NULL NULL NULL 0.0 NULL 4.6 NULL NULL NULL NULL NULL NULL NULL NULL
20000326 86.0 26-03-2000 NULL NULL NULL NULL 0.0 NULL 5.3 NULL NULL NULL NULL NULL NULL NULL NULL
20000327 87.0 27-03-2000 NULL NULL NULL NULL 0.0 NULL 0.4 NULL NULL NULL NULL NULL NULL NULL NULL
20000328 88.0 28-03-2000 NULL NULL NULL NULL 0.0 NULL 2.9499999999999997 NULL NULL NULL NULL NULL NULL NULL NULL
20000329 89.0 29-03-2000 NULL NULL NULL NULL 0.0 NULL 5.5 NULL NULL NULL NULL NULL NULL NULL NULL
20000330 90.0 30-03-2000 NULL NULL NULL NULL 12.6 NULL 4.8 NULL NULL NULL NULL NULL NULL NULL NULL
20000331 91.0 31-03-2000 NULL NULL NULL NULL 0.0 NULL 4.1 NULL NULL NULL NULL NULL NULL NULL NULL
20000401 92.0 01-04-2000 NULL NULL NULL NULL 2.4 NULL 3.5 NULL NULL NULL NULL NULL NULL NULL NULL
20000402 93.0 02-04-2000 NULL NULL NULL NULL 31.4 NULL 3.6 NULL NULL NULL NULL NULL NULL NULL NULL
20000403 94.0 03-04-2000 NULL NULL NULL NULL 8.0 NULL 3.7 NULL NULL NULL NULL NULL NULL NULL NULL
20000404 95.0 04-04-2000 NULL NULL NULL NULL 3.2 NULL 3.8 NULL NULL NULL NULL NULL NULL NULL NULL
20000405 96.0 05-04-2000 NULL NULL NULL NULL 0.0 NULL 3.9 NULL NULL NULL NULL NULL NULL NULL NULL
20000406 97.0 06-04-2000 NULL NULL NULL NULL 0.2 NULL 4.1 NULL NULL NULL NULL NULL NULL NULL NULL
20000407 98.0 07-04-2000 NULL NULL NULL NULL 0.2 NULL 2.7 NULL NULL NULL NULL NULL NULL NULL NULL
20000408 99.0 08-04-2000 NULL NULL NULL NULL 9.8 NULL 2.8333333333333335 NULL NULL NULL NULL NULL NULL NULL NULL
20000409 100.0 09-04-2000 NULL NULL NULL NULL 3.2 NULL 2.966666666666667 NULL NULL NULL NULL NULL NULL NULL NULL
20000410 101.0 10-04-2000 NULL NULL NULL NULL 0.0 NULL 3.1 NULL NULL NULL NULL NULL NULL NULL NULL
20000411 102.0 11-04-2000 NULL NULL NULL NULL 0.0 NULL 4.6 NULL NULL NULL NULL NULL NULL NULL NULL
20000412 103.0 12-04-2000 NULL NULL NULL NULL 0.0 NULL 3.7 NULL NULL NULL NULL NULL NULL NULL NULL
20000413 104.0 13-04-2000 NULL NULL NULL NULL 0.4 NULL 3.62 NULL NULL NULL NULL NULL NULL NULL NULL
20000414 105.0 14-04-2000 NULL NULL NULL NULL 7.0 NULL 3.54 NULL NULL NULL NULL NULL NULL NULL NULL
20000415 106.0 15-04-2000 NULL NULL NULL NULL 20.8 NULL 3.46 NULL NULL NULL NULL NULL NULL NULL NULL
20000416 107.0 16-04-2000 NULL NULL NULL NULL 6.4 NULL 3.38 NULL NULL NULL NULL NULL NULL NULL NULL
20000417 108.0 17-04-2000 NULL NULL NULL NULL 0.0 NULL 3.3 NULL NULL NULL NULL NULL NULL NULL NULL
20000418 109.0 18-04-2000 NULL NULL NULL NULL 0.2 NULL 3.1 NULL NULL NULL NULL NULL NULL NULL NULL
20000419 110.0 19-04-2000 NULL NULL NULL NULL 0.0 NULL 2.9 NULL NULL NULL NULL NULL NULL NULL NULL
20000420 111.0 20-04-2000 NULL NULL NULL NULL 0.2 NULL 4.3 NULL NULL NULL NULL NULL NULL NULL NULL
20000421 112.0 21-04-2000 NULL NULL NULL NULL 1.2 NULL 3.5 NULL NULL NULL NULL NULL NULL NULL NULL
20000422 113.0 22-04-2000 NULL NULL NULL NULL 3.8 NULL 3.2 NULL NULL NULL NULL NULL NULL NULL NULL
20000423 114.0 23-04-2000 NULL NULL NULL NULL 0.0 NULL 2.9 NULL NULL NULL NULL NULL NULL NULL NULL
20000424 115.0 24-04-2000 NULL NULL NULL NULL 0.0 NULL 2.5999999999999996 NULL NULL NULL NULL NULL NULL NULL NULL
20000425 116.0 25-04-2000 NULL NULL NULL NULL 0.0 NULL 2.3 NULL NULL NULL NULL NULL NULL NULL NULL
20000426 117.0 26-04-2000 NULL NULL NULL NULL 2.0 NULL 4.3 NULL NULL NULL NULL NULL NULL NULL NULL
20000427 118.0 27-04-2000 NULL NULL NULL NULL 0.4 NULL 5.2 NULL NULL NULL NULL NULL NULL NULL NULL
20000428 119.0 28-04-2000 NULL NULL NULL NULL 0.0 NULL 5.1 NULL NULL NULL NULL NULL NULL NULL NULL
20000429 120.0 29-04-2000 NULL NULL NULL NULL 1.4 NULL 2.4 NULL NULL NULL NULL NULL NULL NULL NULL
20000430 121.0 30-04-2000 NULL NULL NULL NULL 43.0 NULL 6.2 NULL NULL NULL NULL NULL NULL NULL NULL
20000501 122.0 01-05-2000 NULL NULL NULL NULL 8.8 NULL 10.9 NULL NULL NULL NULL NULL NULL NULL NULL
20000502 123.0 02-05-2000 NULL NULL NULL NULL 0.2 NULL 4.1 NULL NULL NULL NULL NULL NULL NULL NULL
20000503 124.0 03-05-2000 NULL NULL NULL NULL 1.0 NULL 4.0 NULL NULL NULL NULL NULL NULL NULL NULL
20000504 125.0 04-05-2000 NULL NULL NULL NULL 2.4 NULL 4.4 NULL NULL NULL NULL NULL NULL NULL NULL
20000505 126.0 05-05-2000 NULL NULL NULL NULL 3.8 NULL 3.7 NULL NULL NULL NULL NULL NULL NULL NULL
20000506 127.0 06-05-2000 NULL NULL NULL NULL 13.4 NULL 7.0 NULL NULL NULL NULL NULL NULL NULL NULL
20000507 128.0 07-05-2000 NULL NULL NULL NULL 1.0 NULL 3.8 NULL NULL NULL NULL NULL NULL NULL NULL
20000508 129.0 08-05-2000 NULL NULL NULL NULL 2.8 NULL 3.1 NULL NULL NULL NULL NULL NULL NULL NULL
20000509 130.0 09-05-2000 NULL NULL NULL NULL 13.0 NULL 3.1 NULL NULL NULL NULL NULL NULL NULL NULL
20000510 131.0 10-05-2000 NULL NULL NULL NULL 0.4 NULL 3.3 NULL NULL NULL NULL NULL NULL NULL NULL
20000511 132.0 11-05-2000 NULL NULL NULL NULL 0.0 NULL 4.3 NULL NULL NULL NULL NULL NULL NULL NULL
20000512 133.0 12-05-2000 NULL NULL NULL NULL 0.0 NULL 3.9 NULL NULL NULL NULL NULL NULL NULL NULL
20000513 134.0 13-05-2000 NULL NULL NULL NULL 0.0 NULL 4.7 NULL NULL NULL NULL NULL NULL NULL NULL
20000514 135.0 14-05-2000 NULL NULL NULL NULL 0.0 NULL 4.9 NULL NULL NULL NULL NULL NULL NULL NULL
20000515 136.0 15-05-2000 NULL NULL NULL NULL 0.0 NULL 4.4 NULL NULL NULL NULL NULL NULL NULL NULL
20000516 137.0 16-05-2000 NULL NULL NULL NULL 0.0 NULL 9.2 NULL NULL NULL NULL NULL NULL NULL NULL
20000517 138.0 17-05-2000 NULL NULL NULL NULL 0.0 NULL 4.9 NULL NULL NULL NULL NULL NULL NULL NULL
20000518 139.0 18-05-2000 NULL NULL NULL NULL 0.0 NULL 6.4 NULL NULL NULL NULL NULL NULL NULL NULL
20000519 140.0 19-05-2000 NULL NULL NULL NULL 0.2 NULL 4.4 NULL NULL NULL NULL NULL NULL NULL NULL
20000520 141.0 20-05-2000 NULL NULL NULL NULL 0.0 NULL 5.3 NULL NULL NULL NULL NULL NULL NULL NULL
20000521 142.0 21-05-2000 NULL NULL NULL NULL 1.0 NULL 3.8 NULL NULL NULL NULL NULL NULL NULL NULL
20000522 143.0 22-05-2000 NULL NULL NULL NULL 0.0 NULL 5.6 NULL NULL NULL NULL NULL NULL NULL NULL
20000523 144.0 23-05-2000 NULL NULL NULL NULL 5.8 NULL 5.0 NULL NULL NULL NULL NULL NULL NULL NULL
20000524 145.0 24-05-2000 NULL NULL NULL NULL 3.0 NULL 5.7 NULL NULL NULL NULL NULL NULL NULL NULL
20000525 146.0 25-05-2000 NULL NULL NULL NULL 0.0 NULL 6.4 NULL NULL NULL NULL NULL NULL NULL NULL
20000526 147.0 26-05-2000 NULL NULL NULL NULL 0.0 NULL 4.4 NULL NULL NULL NULL NULL NULL NULL NULL
20000527 148.0 27-05-2000 NULL NULL NULL NULL 0.0 NULL 6.5 NULL NULL NULL NULL NULL NULL NULL NULL
20000528 149.0 28-05-2000 NULL NULL NULL NULL 0.0 NULL 7.4 NULL NULL NULL NULL NULL NULL NULL NULL
20000529 150.0 29-05-2000 NULL NULL NULL NULL 0.0 NULL 3.1 NULL NULL NULL NULL NULL NULL NULL NULL
20000530 151.0 30-05-2000 NULL NULL NULL NULL 0.0 NULL 11.6 NULL NULL NULL NULL NULL NULL NULL NULL
20000531 152.0 31-05-2000 NULL NULL NULL NULL 0.0 NULL 8.1 NULL NULL NULL NULL NULL NULL NULL NULL
20000601 153.0 01-06-2000 NULL NULL NULL NULL 0.0 NULL 7.3 NULL NULL NULL NULL NULL NULL NULL NULL
20000602 154.0 02-06-2000 NULL NULL NULL NULL 0.0 NULL 6.9 NULL NULL NULL NULL NULL NULL NULL NULL
20000603 155.0 03-06-2000 NULL NULL NULL NULL 0.0 NULL 6.3 NULL NULL NULL NULL NULL NULL NULL NULL
20000604 156.0 04-06-2000 NULL NULL NULL NULL 0.0 NULL 8.6 NULL NULL NULL NULL NULL NULL NULL NULL
20000605 157.0 05-06-2000 NULL NULL NULL NULL 0.0 NULL 8.2 NULL NULL NULL NULL NULL NULL NULL NULL
20000606 158.0 06-06-2000 NULL NULL NULL NULL 0.0 NULL 8.7 NULL NULL NULL NULL NULL NULL NULL NULL
20000607 159.0 07-06-2000 NULL NULL NULL NULL 0.0 NULL 9.6 NULL NULL NULL NULL NULL NULL NULL NULL
20000608 160.0 08-06-2000 NULL NULL NULL NULL 0.0 NULL 10.5 NULL NULL NULL NULL NULL NULL NULL NULL
20000609 161.0 09-06-2000 NULL NULL NULL NULL 0.0 NULL 12.5 NULL NULL NULL NULL NULL NULL NULL NULL
20000610 162.0 10-06-2000 NULL NULL NULL NULL 0.0 NULL 10.5 NULL NULL NULL NULL NULL NULL NULL NULL
20000611 163.0 11-06-2000 NULL NULL NULL NULL 0.0 NULL 8.4 NULL NULL NULL NULL NULL NULL NULL NULL
20000612 164.0 12-06-2000 NULL NULL NULL NULL 0.0 NULL 9.6 NULL NULL NULL NULL NULL NULL NULL NULL
20000613 165.0 13-06-2000 NULL NULL NULL NULL 0.0 NULL 8.4 NULL NULL NULL NULL NULL NULL NULL NULL
20000614 166.0 14-06-2000 NULL NULL NULL NULL 0.0 NULL 8.9 NULL NULL NULL NULL NULL NULL NULL NULL
20000615 167.0 15-06-2000 NULL NULL NULL NULL 0.0 NULL 10.8 NULL NULL NULL NULL NULL NULL NULL NULL
20000616 168.0 16-06-2000 NULL NULL NULL NULL 0.0 NULL 10.2 NULL NULL NULL NULL NULL NULL NULL NULL
20000617 169.0 17-06-2000 NULL NULL NULL NULL 0.0 NULL 7.6 NULL NULL NULL NULL NULL NULL NULL NULL
20000618 170.0 18-06-2000 NULL NULL NULL NULL 0.0 NULL 6.2 NULL NULL NULL NULL NULL NULL NULL NULL
20000619 171.0 19-06-2000 NULL NULL NULL NULL 0.0 NULL 7.0 NULL NULL NULL NULL NULL NULL NULL NULL
20000620 172.0 20-06-2000 NULL NULL NULL NULL 0.0 NULL 8.0 NULL NULL NULL NULL NULL NULL NULL NULL
20000621 173.0 21-06-2000 NULL NULL NULL NULL 0.0 NULL 9.233333333333333 NULL NULL NULL NULL NULL NULL NULL NULL
20000622 174.0 22-06-2000 NULL NULL NULL NULL 0.0 NULL 10.466666666666667 NULL NULL NULL NULL NULL NULL NULL NULL
20000623 175.0 23-06-2000 NULL NULL NULL NULL 0.0 NULL 11.7 NULL NULL NULL NULL NULL NULL NULL NULL
20000624 176.0 24-06-2000 NULL NULL NULL NULL 0.0 NULL 12.9 NULL NULL NULL NULL NULL NULL NULL NULL
20000625 177.0 25-06-2000 NULL NULL NULL NULL 0.0 NULL 9.3 NULL NULL NULL NULL NULL NULL NULL NULL
20000626 178.0 26-06-2000 NULL NULL NULL NULL 0.0 NULL 9.2 NULL NULL NULL NULL NULL NULL NULL NULL
20000627 179.0 27-06-2000 NULL NULL NULL NULL 0.6 NULL 11.4 NULL NULL NULL NULL NULL NULL NULL NULL
20000628 180.0 28-06-2000 NULL NULL NULL NULL 0.0 NULL 8.7 NULL NULL NULL NULL NULL NULL NULL NULL
20000629 181.0 29-06-2000 NULL NULL NULL NULL 0.0 NULL 11.2 NULL NULL NULL NULL NULL NULL NULL NULL
20000630 182.0 30-06-2000 NULL NULL NULL NULL 0.0 NULL 9.9 NULL NULL NULL NULL NULL NULL NULL NULL
20000701 183.0 01-07-2000 NULL NULL NULL NULL 0.0 NULL 8.9 NULL NULL NULL NULL NULL NULL NULL NULL
20000702 184.0 02-07-2000 NULL NULL NULL NULL 0.0 NULL 9.4 NULL NULL NULL NULL NULL NULL NULL NULL
20000703 185.0 03-07-2000 NULL NULL NULL NULL 0.0 NULL 8.4 NULL NULL NULL NULL NULL NULL NULL NULL
20000704 186.0 04-07-2000 NULL NULL NULL NULL 0.0 NULL 8.2 NULL NULL NULL NULL NULL NULL NULL NULL
20000705 187.0 05-07-2000 NULL NULL NULL NULL 0.0 NULL 10.5 NULL NULL NULL NULL NULL NULL NULL NULL
20000706 188.0 06-07-2000 NULL NULL NULL NULL 0.0 NULL 7.9 NULL NULL NULL NULL NULL NULL NULL NULL
20000707 189.0 07-07-2000 NULL NULL NULL NULL 0.0 NULL 9.0 NULL NULL NULL NULL NULL NULL NULL NULL
20000708 190.0 08-07-2000 NULL NULL NULL NULL 0.0 NULL 9.0 NULL NULL NULL NULL NULL NULL NULL NULL
20000709 191.0 09-07-2000 NULL NULL NULL NULL 0.0 NULL 8.0 NULL NULL NULL NULL NULL NULL NULL NULL
20000710 192.0 10-07-2000 NULL NULL NULL NULL 0.0 NULL 9.8 NULL NULL NULL NULL NULL NULL NULL NULL
20000711 193.0 11-07-2000 NULL NULL NULL NULL 0.0 NULL 10.700000000000001 NULL NULL NULL NULL NULL NULL NULL NULL
20000712 194.0 12-07-2000 NULL NULL NULL NULL 0.0 NULL 11.6 NULL NULL NULL NULL NULL NULL NULL NULL
20000713 195.0 13-07-2000 NULL NULL NULL NULL 0.0 NULL 12.5 NULL NULL NULL NULL NULL NULL NULL NULL
20000714 196.0 14-07-2000 NULL NULL NULL NULL 0.0 NULL 9.3 NULL NULL NULL NULL NULL NULL NULL NULL
20000715 197.0 15-07-2000 NULL NULL NULL NULL 0.0 NULL 12.0 NULL NULL NULL NULL NULL NULL NULL NULL
20000716 198.0 16-07-2000 NULL NULL NULL NULL 0.0 NULL 10.0 NULL NULL NULL NULL NULL NULL NULL NULL
20000717 199.0 17-07-2000 NULL NULL NULL NULL 0.0 NULL 4.2 NULL NULL NULL NULL NULL NULL NULL NULL
20000718 200.0 18-07-2000 NULL NULL NULL NULL 0.0 NULL 7.3 NULL NULL NULL NULL NULL NULL NULL NULL
20000719 201.0 19-07-2000 NULL NULL NULL NULL 0.0 NULL 7.1 NULL NULL NULL NULL NULL NULL NULL NULL
20000720 202.0 20-07-2000 NULL NULL NULL NULL 0.0 NULL 8.1 NULL NULL NULL NULL NULL NULL NULL NULL
20000721 203.0 21-07-2000 NULL NULL NULL NULL 0.0 NULL 7.3 NULL NULL NULL NULL NULL NULL NULL NULL
20000722 204.0 22-07-2000 NULL NULL NULL NULL 0.0 NULL 8.3 NULL NULL NULL NULL NULL NULL NULL NULL
20000723 205.0 23-07-2000 NULL NULL NULL NULL 0.0 NULL 7.4 NULL NULL NULL NULL NULL NULL NULL NULL
20000724 206.0 24-07-2000 NULL NULL NULL NULL 0.0 NULL 7.4 NULL NULL NULL NULL NULL NULL NULL NULL
20000725 207.0 25-07-2000 NULL NULL NULL NULL 0.0 NULL 8.3 NULL NULL NULL NULL NULL NULL NULL NULL
20000726 208.0 26-07-2000 NULL NULL NULL NULL 0.0 NULL 6.9 NULL NULL NULL NULL NULL NULL NULL NULL
20000727 209.0 27-07-2000 NULL NULL NULL NULL 0.0 NULL 7.766666666666667 NULL NULL NULL NULL NULL NULL NULL NULL
20000728 210.0 28-07-2000 NULL NULL NULL NULL 0.0 NULL 8.633333333333333 NULL NULL NULL NULL NULL NULL NULL NULL
20000729 211.0 29-07-2000 NULL NULL NULL NULL 0.0 NULL 9.5 NULL NULL NULL NULL NULL NULL NULL NULL
